;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(Â°)
0,1000,-0.0882176,-0.546958
1,1052.2,-0.0877386,-0.599574
2,1107.13,-0.087356,-0.637297
3,1164.93,-0.0879687,-0.665526
4,1225.75,-0.0878309,-0.702587
5,1289.74,-0.0878066,-0.733882
6,1357.07,-0.087493,-0.784519
7,1427.91,-0.0873099,-0.82116
8,1502.46,-0.0870191,-0.859636
9,1580.89,-0.0875085,-0.912515
10,1663.42,-0.0871342,-0.950741
11,1750.26,-0.0879693,-0.996127
12,1841.63,-0.0873599,-1.04553
13,1937.77,-0.0872428,-1.10735
14,2038.93,-0.087203,-1.16675
15,2145.37,-0.0868124,-1.23916
16,2257.37,-0.0866081,-1.2805
17,2375.22,-0.0870351,-1.36176
18,2499.22,-0.086414,-1.43922
19,2629.69,-0.0873968,-1.50762
20,2766.97,-0.0858785,-1.58295
21,2911.42,-0.0871592,-1.67676
22,3063.41,-0.0862981,-1.77402
23,3223.33,-0.0863216,-1.85397
24,3391.6,-0.0863313,-1.95487
25,3568.66,-0.0856953,-2.06725
26,3754.96,-0.0853376,-2.17505
27,3950.99,-0.0871407,-2.28505
28,4157.25,-0.0867757,-2.4091
29,4374.27,-0.0863842,-2.53637
30,4602.63,-0.0867679,-2.66632
31,4842.91,-0.0875267,-2.80918
32,5095.73,-0.0878283,-2.97559
33,5361.75,-0.0885385,-3.15171
34,5641.66,-0.0905983,-3.3201
35,5936.18,-0.0903432,-3.51354
36,6246.08,-0.0921018,-3.66978
37,6572.15,-0.0937092,-3.87366
38,6915.25,-0.0965813,-4.11313
39,7276.25,-0.0986853,-4.30195
40,7656.11,-0.0991377,-4.54939
41,8055.79,-0.103314,-4.77391
42,8476.34,-0.104131,-5.03344
43,8918.85,-0.111168,-5.28688
44,9384.45,-0.117857,-5.59873
45,9874.36,-0.120622,-5.85511
46,10389.8,-0.127004,-6.18361
47,10932.2,-0.132036,-6.50917
48,11503,-0.139253,-6.83551
49,12103.5,-0.147472,-7.2043
50,12735.3,-0.15566,-7.57446
51,13400.2,-0.166128,-7.97349
52,14099.7,-0.177195,-8.40709
53,14835.8,-0.188894,-8.82429
54,15610.3,-0.201525,-9.26301
55,16425.2,-0.215132,-9.75067
56,17282.7,-0.232356,-10.2498
57,18184.9,-0.24982,-10.7897
58,19134.3,-0.269567,-11.3369
59,20133.2,-0.291523,-11.8883
60,21184.2,-0.31572,-12.502
61,22290.1,-0.340052,-13.1561
62,23453.8,-0.370818,-13.7533
63,24678.2,-0.401606,-14.4328
64,25966.5,-0.436111,-15.2342
65,27322,-0.475272,-15.905
66,28748.4,-0.516634,-16.6584
67,30249.2,-0.561951,-17.4265
68,31828.3,-0.614912,-18.3332
69,33489.9,-0.668533,-19.1284
70,35238.2,-0.72946,-20.1039
71,37077.8,-0.790964,-20.9512
72,39013.5,-0.86087,-21.9842
73,41050.1,-0.938866,-22.9389
74,43193.2,-1.02312,-24.0205
75,45448,-1.11382,-24.9954
76,47820.6,-1.2124,-25.9833
77,50317.1,-1.31787,-27.2797
78,52943.9,-1.43891,-28.5882
79,55707.8,-1.55781,-29.5155
80,58616,-1.67847,-30.4462
81,61676,-1.82073,-31.7381
82,64895.8,-1.97139,-32.9626
83,68283.6,-2.13841,-34.0089
84,71848.4,-2.30235,-35.4584
85,75599.2,-2.48104,-36.6281
86,79545.8,-2.65005,-38.1724
87,83698.5,-2.87301,-39.1261
88,88067.9,-3.08535,-40.1546
89,92665.5,-3.30338,-41.9929
90,97503,-3.53427,-42.4765
91,102593,-3.79346,-43.8377
92,107949,-4.05193,-45.0045
93,113584,-4.31367,-46.1154
94,119514,-4.58701,-47.2113
95,125753,-4.87533,-48.258
96,132318,-5.16523,-49.168
97,139226,-5.46882,-50.096
98,146494,-5.77768,-50.9435
99,154142,-6.10544,-51.9577
100,162189,-6.42511,-52.8166
101,170656,-6.75941,-53.4604
102,179565,-7.09257,-54.3057
103,188939,-7.43799,-54.6912
104,198802,-7.78283,-55.4886
105,209180,-8.15057,-55.921
106,220101,-8.51154,-56.2965
107,231591,-8.87125,-56.747
108,243681,-9.23323,-57.1279
109,256402,-9.60315,-57.3483
110,269788,-9.97916,-57.7616
111,283872,-10.3508,-57.7747
112,298691,-10.7311,-57.7064
113,314284,-11.0988,-57.8211
114,330691,-11.4774,-57.8222
115,347955,-11.8493,-57.6905
116,366120,-12.2366,-57.588
117,385233,-12.5972,-57.2142
118,405344,-12.9699,-56.6701
119,426505,-13.3428,-56.4543
120,448770,-13.7017,-56.1989
121,472198,-14.0839,-55.4626
122,496849,-14.435,-55.1734
123,522787,-14.7784,-53.8722
124,550079,-15.1337,-53.5266
125,578795,-15.4845,-53.0379
126,609011,-15.802,-52.0115
127,640804,-16.1347,-50.9587
128,674257,-16.4529,-50.0499
129,709457,-16.7521,-48.8581
130,746494,-17.0387,-47.706
131,785464,-17.3692,-46.5995
132,826469,-17.6575,-46.099
133,869614,-17.9325,-45.0693
134,915012,-18.1881,-43.3158
135,962780,-18.4515,-41.46
136,1.01304e+06,-18.7058,-40.7186
137,1.06593e+06,-18.945,-39.1402
138,1.12157e+06,-19.1657,-37.8855
139,1.18012e+06,-19.3636,-36.5207
140,1.24173e+06,-19.5651,-35.0244
141,1.30656e+06,-19.7577,-33.614
142,1.37477e+06,-19.9335,-32.131
143,1.44653e+06,-20.0977,-30.6946
144,1.52205e+06,-20.2441,-29.3843
145,1.60151e+06,-20.3731,-27.8912
146,1.68511e+06,-20.5093,-26.3557
147,1.77308e+06,-20.6154,-25.0094
148,1.86565e+06,-20.7149,-23.6949
149,1.96304e+06,-20.8013,-22.1327
150,2.06552e+06,-20.8806,-20.9123
151,2.17335e+06,-20.9309,-19.4549
152,2.28681e+06,-20.9892,-18.1477
153,2.40619e+06,-21.0388,-16.809
154,2.53181e+06,-21.0738,-15.7528
155,2.66398e+06,-21.0987,-14.6431
156,2.80305e+06,-21.1162,-13.499
157,2.94939e+06,-21.1343,-12.479
158,3.10336e+06,-21.1319,-11.285
159,3.26537e+06,-21.1255,-10.1564
160,3.43583e+06,-21.1134,-9.37089
161,3.6152e+06,-21.0954,-8.47553
162,3.80393e+06,-21.0756,-7.65875
163,4.00251e+06,-21.0513,-6.65985
164,4.21146e+06,-21.0315,-6.23301
165,4.43132e+06,-20.9823,-5.17699
166,4.66266e+06,-20.9438,-4.87337
167,4.90607e+06,-20.9117,-4.04714
168,5.16219e+06,-20.8679,-3.59334
169,5.43168e+06,-20.8351,-2.77922
170,5.71524e+06,-20.7827,-2.3958
171,6.0136e+06,-20.7499,-2.30731
172,6.32754e+06,-20.7079,-1.68793
173,6.65786e+06,-20.6666,-1.51208
174,7.00543e+06,-20.6278,-1.35074
175,7.37115e+06,-20.5908,-1.12356
176,7.75596e+06,-20.547,-0.810665
177,8.16085e+06,-20.5105,-0.586624
178,8.58689e+06,-20.4706,-0.461762
179,9.03516e+06,-20.4513,-0.125002
180,9.50684e+06,-20.4299,-0.0608013
181,1.00031e+07,-20.4217,-0.075599
182,1.05254e+07,-20.3796,-0.116791
183,1.10748e+07,-20.36,0.0639535
184,1.1653e+07,-20.3385,0.173923
185,1.22613e+07,-20.3436,0.367698
186,1.29014e+07,-20.3444,0.134622
187,1.35749e+07,-20.3347,0.168477
188,1.42836e+07,-20.3429,0.276094
189,1.50293e+07,-20.3485,0.664165
190,1.58139e+07,-20.3507,0.611672
191,1.66394e+07,-20.354,0.611174
192,1.75081e+07,-20.3593,0.978415
193,1.84221e+07,-20.3824,0.606776
194,1.93838e+07,-20.3894,1.22407
195,2.03957e+07,-20.4208,1.32725
196,2.14605e+07,-20.4439,1.68155
197,2.25808e+07,-20.416,2.05583
198,2.37596e+07,-20.3757,2.67142
199,2.5e+07,-20.2574,2.62546
